SocialInheritance1,SocialInheritance2,GroupSize,Foraging,Predation,Threshold,Discriminatory,Prob,Pink,Magenta,Violet,Blue,Green,Yellow,PopBust?,Rate,Stability,Diversifying,Neurtal,Focusing,Equitable,Inequitable,Total,Average,Test
FALSE,FALSE,6,0.93,0.0003,0,30,0.0049,0,0,0,0,0,0,FALSE,0.013784661,0.949624887,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.0049,65,0,0,0,0,0,FALSE,0.04744786,0.946216463,65,0,0,65,0,65,12,1
FALSE,FALSE,6,0.93,0.0003,0,30,0.005,0,0,0,0,0,0,FALSE,0.063844289,0.92321733,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0.005,0,0,0,0,0,0,FALSE,0.037208019,0.950527031,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0,0,84,0,0,0,0,TRUE,0.008645934,0.987528417,84,0,0,0,84,84,12,4
FALSE,FALSE,6,0.93,0.0003,0,30,0,0,0,0,0,0,0,FALSE,0.000916,0.981182406,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,0,0,84,0,0,0,0,FALSE,0.011066078,0.982257567,84,0,0,0,84,84,12,4
FALSE,FALSE,6,0.93,0.0003,0,30,0,0,0,0,0,0,80,FALSE,0.010511205,0.981715468,0,0,80,0,80,80,4,6
FALSE,FALSE,6,0.93,0.0003,0,30,0,0,81,0,0,0,0,FALSE,0.010561633,0.985286954,81,0,0,0,81,81,12,4
FALSE,FALSE,6,0.93,0.0003,0,30,0,0,0,0,0,0,80,TRUE,0.006907006,0.987163501,0,0,80,0,80,80,4,6
FALSE,FALSE,6,0.93,0.0003,0,30,0,0,86,0,0,0,0,TRUE,0.010705202,0.984504775,86,0,0,0,86,86,12,4
FALSE,FALSE,6,0.93,0.0003,0,30,0,0,0,0,0,0,0,FALSE,0.021461428,0.960262787,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,1.00E-04,0,0,0,0,0,0,FALSE,0.009228089,0.981525934,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,1.00E-04,0,0,0,0,0,0,FALSE,0.001770009,0.933443058,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,1.00E-04,0,0,0,0,0,0,FALSE,4.40E-05,0.915139288,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,1.00E-04,0,0,0,60,0,0,FALSE,0.015824061,0.979078474,0,60,0,0,60,60,8,5
FALSE,FALSE,6,0.93,0.0003,0,30,1.00E-04,0,0,0,0,0,0,FALSE,0.001001431,0.840254201,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,1.00E-04,0,0,0,0,0,0,FALSE,0.000477,0.921524552,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,1.00E-04,0,0,0,0,0,92,TRUE,0.008878201,0.983049713,0,0,92,0,92,92,4,6
FALSE,FALSE,6,0.93,0.0003,0,30,1.00E-04,0,0,0,0,0,0,FALSE,0.007695823,0.976436398,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,2.00E-04,0,0,0,0,0,0,FALSE,0.004023937,0.959256703,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,2.00E-04,0,0,0,0,19,0,FALSE,0.009442116,0.980803498,0,0,19,19,0,19,4,3
FALSE,FALSE,6,0.93,0.0003,0,30,2.00E-04,0,0,0,0,0,77,FALSE,0.009937389,0.983519104,0,0,77,0,77,77,4,6
FALSE,FALSE,6,0.93,0.0003,0,30,2.00E-04,0,0,0,0,0,0,FALSE,0.00253665,0.944508814,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,2.00E-04,0,0,0,0,0,0,FALSE,0.004156266,0.927814794,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,2.00E-04,0,0,0,0,0,0,FALSE,0.001376635,0.913329421,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,2.00E-04,0,0,0,0,0,66,TRUE,0.008356627,0.985065597,0,0,66,0,66,66,4,6
FALSE,FALSE,6,0.93,0.0003,0,30,3.00E-04,0,0,0,0,0,0,FALSE,0.001862295,0.933765026,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,3.00E-04,0,0,0,0,0,0,FALSE,0.008293348,0.95844927,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,3.00E-04,0,0,0,0,0,0,FALSE,0.002568264,0.956259936,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,3.00E-04,0,0,0,0,0,0,FALSE,0.004560213,0.966821311,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,3.00E-04,0,0,0,0,0,0,FALSE,0.003361153,0.896804158,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,3.00E-04,0,0,0,0,39,0,FALSE,0.010279366,0.982669986,0,0,39,39,0,39,4,3
FALSE,FALSE,6,0.93,0.0003,0,30,3.00E-04,0,0,0,0,0,0,FALSE,0.002506017,0.873511464,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,3.00E-04,0,0,0,0,0,0,FALSE,0.001561214,0.85696512,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,4.00E-04,0,0,0,0,0,0,FALSE,0.003243944,0.952996133,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,4.00E-04,0,0,0,0,0,0,FALSE,0.006246664,0.984361374,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,4.00E-04,0,0,0,0,0,0,FALSE,0.006282305,0.921346104,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,4.00E-04,0,0,0,0,0,0,FALSE,0.001392,0.965608836,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,4.00E-04,0,70,0,0,0,0,FALSE,0.012739606,0.983454252,70,0,0,0,70,70,12,4
FALSE,FALSE,6,0.93,0.0003,0,30,4.00E-04,0,0,0,0,0,0,FALSE,0.024001774,0.954154537,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,4.00E-04,0,0,0,0,0,0,FALSE,0.001299187,0.950132562,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,4.00E-04,0,0,0,0,0,49,FALSE,0.007694906,0.984737131,0,0,49,0,49,49,4,6
FALSE,FALSE,6,0.93,0.0003,0,30,5.00E-04,0,0,0,0,0,0,FALSE,0.022326869,0.966609287,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,5.00E-04,0,0,0,0,0,64,FALSE,0.010431784,0.983595373,0,0,64,0,64,64,4,6
FALSE,FALSE,6,0.93,0.0003,0,30,5.00E-04,0,0,0,0,0,0,FALSE,0.002029383,0.950086701,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,5.00E-04,0,0,0,0,0,0,FALSE,0.014386638,0.956878316,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,5.00E-04,0,0,0,0,0,0,FALSE,0.001395572,0.888374468,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,5.00E-04,0,0,0,0,0,0,FALSE,0.003338008,0.951659552,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,5.00E-04,0,0,0,0,60,0,FALSE,0.013454757,0.978712414,0,0,60,60,0,60,4,3
FALSE,FALSE,6,0.93,0.0003,0,30,6.00E-04,0,54,0,0,0,0,FALSE,0.019772925,0.976846553,54,0,0,0,54,54,12,4
FALSE,FALSE,6,0.93,0.0003,0,30,6.00E-04,0,0,0,0,0,0,FALSE,0.00664478,0.933549523,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,6.00E-04,0,0,0,0,0,0,FALSE,0.011639254,0.923679877,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,6.00E-04,0,0,0,0,0,0,FALSE,0.002992193,0.859799816,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,6.00E-04,0,0,0,0,0,0,FALSE,0.013593327,0.904041051,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,6.00E-04,0,0,0,0,0,0,FALSE,0.003963863,0.931540141,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,6.00E-04,0,0,0,0,0,0,FALSE,0.003608321,0.870065731,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,6.00E-04,0,0,0,0,0,0,FALSE,0.000762,0.862314282,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,7.00E-04,0,0,0,0,0,0,FALSE,0.003214256,0.981201042,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,7.00E-04,0,0,0,0,0,0,FALSE,0.025795692,0.920183741,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,7.00E-04,0,0,0,0,0,0,FALSE,0.003007909,0.924876082,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,7.00E-04,0,0,0,0,0,0,FALSE,0.002950695,0.957855964,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,7.00E-04,0,0,0,0,0,0,FALSE,0.001174416,0.960650832,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,7.00E-04,0,0,0,0,0,0,FALSE,0.000223,0.856121053,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,7.00E-04,0,0,0,0,0,0,FALSE,0.027160799,0.945570063,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,7.00E-04,0,0,0,0,0,0,FALSE,0.001372485,0.923604194,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,8.00E-04,0,0,0,0,0,0,FALSE,0.004401984,0.85756243,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,8.00E-04,0,0,0,0,0,0,FALSE,0.021768006,0.971726068,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,8.00E-04,0,0,0,0,0,0,FALSE,0.022354274,0.958849211,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,8.00E-04,0,45,0,0,0,0,FALSE,0.016546006,0.982523887,45,0,0,0,45,45,12,4
FALSE,FALSE,6,0.93,0.0003,0,30,8.00E-04,0,0,0,0,0,0,FALSE,0.011060375,0.957462387,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,8.00E-04,0,0,0,0,0,0,FALSE,0.019487726,0.952467644,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,8.00E-04,0,0,0,0,0,0,FALSE,0.007612558,0.939335887,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,8.00E-04,0,0,0,0,0,0,FALSE,0.002951268,0.895108551,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,9.00E-04,0,0,0,0,0,0,FALSE,0.017390909,0.934970256,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,9.00E-04,0,0,0,0,0,0,FALSE,0.011940174,0.961490895,0,0,0,0,0,0,NA,NA
FALSE,FALSE,6,0.93,0.0003,0,30,9.00E-04,0,0,0,0,0,0,FALSE,0.012502471,0.961676705,0,0,0,0,0,0,NA,NA
