day,Diversifying3,Focusing1,Diversifying2,Focusing2,Diversifying1,Focusing3,total
671,6,6,10,7,7,6,42
672,6,6,10,7,7,6,42
673,6,6,10,7,7,6,42
674,6,6,10,7,7,6,42
675,6,6,11,7,7,6,43
676,6,6,11,7,7,6,43
677,6,6,11,7,7,6,43
678,6,6,11,7,7,6,43
679,6,6,11,7,7,6,43
680,6,6,11,7,7,6,43
681,6,6,11,7,7,5,42
682,6,6,11,7,7,5,42
683,6,6,11,7,7,5,42
684,6,6,11,7,7,5,42
685,6,6,11,7,7,5,42
686,6,6,11,7,7,5,42
687,6,6,11,7,7,5,42
688,6,6,11,7,7,4,41
689,6,6,11,7,7,4,41
690,6,6,11,7,7,3,40
691,6,6,11,7,7,3,40
692,6,6,11,7,7,3,40
693,6,6,11,7,7,3,40
694,6,6,11,7,7,3,40
695,6,6,11,7,7,3,40
696,7,6,11,7,7,3,41
697,7,6,11,7,7,3,41
698,7,6,11,7,7,3,41
699,7,6,11,7,7,3,41
700,7,6,11,7,7,3,41
701,7,6,10,7,7,3,40
702,7,6,10,7,7,3,40
703,7,6,10,7,7,3,40
704,7,6,10,7,7,3,40
705,7,6,10,7,7,3,40
706,7,6,10,7,7,3,40
707,7,6,10,7,7,3,40
708,6,6,10,7,7,3,39
709,6,6,10,7,7,3,39
710,6,6,10,7,7,3,39
711,6,6,10,7,7,3,39
712,6,6,10,7,7,3,39
713,6,6,10,7,7,3,39
714,6,6,10,7,7,3,39
715,6,6,10,7,7,3,39
716,6,6,10,6,8,3,39
717,6,6,10,6,8,3,39
718,6,6,10,6,8,3,39
719,6,6,10,6,8,3,39
720,6,6,10,6,8,3,39
721,6,6,10,6,8,3,39
722,6,6,10,6,8,3,39
723,6,6,10,6,8,3,39
724,6,6,10,6,8,3,39
725,6,6,10,6,8,3,39
726,6,7,10,6,8,3,40
727,6,7,10,6,8,3,40
728,6,7,10,6,8,3,40
729,6,7,10,6,8,3,40
730,6,7,10,6,8,3,40
731,6,7,10,6,8,3,40
732,6,7,11,6,8,3,41
733,6,6,11,6,8,3,40
734,6,6,11,6,8,3,40
735,6,6,11,6,8,3,40
736,6,6,11,7,8,3,41
737,6,6,12,7,8,3,42
738,6,6,12,7,8,3,42
739,6,6,12,7,8,3,42
740,6,6,12,7,8,3,42
741,6,6,12,7,8,3,42
742,6,6,12,7,8,3,42
743,6,6,12,7,8,3,42
744,6,6,12,7,8,3,42
745,7,6,12,7,8,3,43
746,7,6,12,7,8,3,43
747,7,6,12,7,7,3,42
748,7,6,12,7,7,3,42
749,7,7,12,7,7,3,43
750,7,7,12,6,7,3,42
751,7,7,12,6,7,3,42
752,7,7,12,6,7,3,42
753,7,7,12,6,7,3,42
754,7,7,12,6,7,3,42
755,7,7,12,6,7,3,42
756,7,7,12,6,7,3,42
757,7,7,12,6,7,3,42
758,7,7,12,6,7,3,42
759,7,7,12,6,7,3,42
760,7,7,12,6,7,3,42
761,7,7,12,6,7,3,42
762,7,7,12,7,7,3,43
763,7,7,12,7,7,3,43
764,7,7,12,7,7,3,43
765,7,7,12,7,7,3,43
766,7,7,12,7,7,3,43
767,7,7,12,7,7,3,43
768,7,7,12,7,7,3,43
769,7,7,12,7,7,3,43
770,7,7,12,7,7,3,43
771,7,7,12,7,7,3,43
772,7,6,12,7,7,3,42
773,7,6,12,7,7,3,42
774,7,6,12,7,7,3,42
775,7,7,12,7,7,3,43
776,7,7,12,7,7,3,43
777,7,7,12,7,7,3,43
778,7,7,12,7,7,3,43
779,7,7,12,7,7,3,43
780,7,7,12,7,7,3,43
781,7,7,12,7,6,3,42
782,7,7,12,7,6,3,42
783,7,7,12,7,6,3,42
784,7,7,12,7,6,3,42
785,6,7,12,7,6,3,41
786,6,7,12,7,6,3,41
787,6,7,12,7,6,3,41
788,6,7,12,7,6,3,41
789,6,7,12,7,6,3,41
790,6,7,12,7,6,3,41
791,6,7,12,7,6,3,41
792,6,7,12,7,6,3,41
793,6,7,12,7,6,3,41
794,6,7,12,7,6,3,41
795,6,7,12,7,6,3,41
796,6,7,12,7,6,3,41
797,6,7,12,7,6,3,41
798,6,7,13,7,6,3,42
799,6,7,13,7,6,3,42
800,6,7,13,7,6,3,42
801,6,7,13,7,6,3,42
802,6,6,13,7,6,3,41
803,6,6,14,7,6,3,42
804,6,6,14,7,6,3,42
805,6,6,14,7,6,3,42
806,6,6,14,7,6,3,42
807,6,6,14,7,6,3,42
808,6,6,14,7,6,3,42
809,6,6,14,7,6,3,42
810,6,6,14,7,6,3,42
811,6,6,14,7,6,3,42
812,6,6,14,7,6,3,42
813,6,5,14,7,6,3,41
814,6,5,14,7,6,3,41
815,6,5,14,7,6,3,41
816,6,5,14,7,6,3,41
817,6,5,14,7,6,3,41
818,6,5,13,7,6,3,40
819,6,5,13,7,6,3,40
820,6,5,13,7,6,3,40
821,6,5,13,7,6,3,40
822,6,5,13,7,6,3,40
823,6,5,13,7,6,3,40
824,6,5,13,7,6,3,40
825,6,5,13,7,6,3,40
826,6,5,13,7,6,3,40
827,6,5,13,7,6,3,40
828,6,5,13,7,6,3,40
829,6,5,13,7,6,3,40
830,6,5,13,7,6,3,40
831,6,5,13,7,6,3,40
832,6,5,13,7,6,3,40
833,6,5,13,7,6,3,40
834,6,4,13,7,6,3,39
835,6,4,13,7,6,3,39
836,6,4,13,7,6,3,39
837,6,4,13,7,6,3,39
838,6,4,13,7,7,3,40
839,6,4,13,7,7,3,40
840,6,4,13,7,7,3,40
841,6,4,13,7,7,3,40
842,6,4,13,7,7,3,40
843,6,4,13,7,7,3,40
844,6,4,13,7,7,3,40
845,6,4,13,7,7,3,40
846,6,4,13,7,7,3,40
847,6,4,13,7,7,3,40
848,6,4,13,7,7,3,40
849,6,4,13,7,7,3,40
850,6,4,13,7,8,3,41
851,6,4,13,7,8,3,41
852,6,4,13,7,8,3,41
853,6,4,13,7,8,3,41
854,6,4,13,7,8,3,41
855,6,4,13,7,8,3,41
856,6,4,13,7,8,3,41
857,6,4,13,7,8,3,41
858,6,4,13,7,8,3,41
859,6,4,13,7,8,3,41
860,6,4,13,7,8,3,41
861,6,4,13,7,8,3,41
862,6,4,13,7,8,3,41
863,6,4,13,7,8,3,41
864,6,4,13,7,8,3,41
865,6,4,13,7,8,3,41
